,Material,Type,Coat,Diameter (nm),Concentration (ug/ml),Surface_Charge,Cell_Type,Cell Line_Primary Cell,Human_Animal,Cell_Age,Time (hr),Cell_Viability (%)
0,CuO,I,None,1.251764630741022,2.073674946785499,unknown,SH­SY5Y,L,H,A,48,1.3125420943931168
1,CuO,I,None,1.251764630741022,2.073674946785499,unknown,H4,L,H,A,48,1.412344103541861
2,Iron oxide,I,dimercaptosuccinic,0.7608367460774452,3.176114450966894,unknown,PC12,L,A,A,48,1.4431723270012284
3,Iron oxide,I,dimercaptosuccinic,0.7608367460774452,3.176114450966894,unknown,PC12,L,A,A,48,1.5170161182626878
4,Iron oxide,I,dimercaptosuccinic,0.7608367460774452,3.176114450966894,unknown,PC12,L,A,A,48,1.5046759719052887
11,Iron oxide,I,None,0.956545404708534,0.4680642498646843,unknown,SH­SY5Y,L,H,A,48,1.4434685852977749
12,Iron oxide,I,None,0.956545404708534,2.77064934285873,unknown,SH­SY5Y,L,H,A,48,1.4721235667093726
13,Iron oxide,I,None,0.956545404708534,0.4680642498646843,unknown,H4,L,H,A,48,1.4899776938897082
14,Iron oxide,I,None,0.956545404708534,2.77064934285873,unknown,H4,L,H,A,48,1.4961230720145573
15,Iron oxide,I,None,0.956545404708534,0.4680642498646843,unknown,SH­SY5Y,L,H,A,48,1.5262677352308769
16,Iron oxide,I,None,0.956545404708534,2.77064934285873,unknown,SH­SY5Y,L,H,A,48,1.5228027411276326
17,Iron oxide,I,None,0.956545404708534,0.4680642498646843,unknown,H4,L,H,A,48,1.5242374716370541
18,Iron oxide,I,None,0.956545404708534,2.77064934285873,unknown,H4,L,H,A,48,1.526757296153917
19,Au,I,PVP,1.1164525937243184,2.2872683888821523,unknown,A549,L,H,A,24,1.523671027083387
20,Au,I,PVP,1.1164525937243184,2.2872683888821523,unknown,A549,L,H,A,48,1.524260591871508
21,Au,I,PVP,1.1164525937243184,2.9804155694420977,unknown,A549,L,H,A,24,1.5194887707592573
22,Au,I,PVP,1.1164525937243184,2.9804155694420977,unknown,A549,L,H,A,72,1.5218905722241778
23,Au,I,PVP,1.1164525937243184,4.079027858110208,unknown,A549,L,H,A,24,1.5194887707592573
24,Au,I,PVP,1.1164525937243184,4.079027858110208,unknown,A549,L,H,A,48,1.5114536970938819
25,Au,I,PVP,1.1164525937243184,4.079027858110208,unknown,A549,L,H,A,72,1.5200922482309067
26,Au,I,PVP,1.1164525937243184,4.926325718497411,unknown,A549,L,H,A,24,1.5254339390601337
27,Au,I,PVP,1.1164525937243184,4.926325718497411,unknown,A549,L,H,A,48,1.514586663398259
28,Au,I,PVP,1.1164525937243184,4.926325718497411,unknown,A549,L,H,A,72,1.5152067729476204
29,Au,I,PVP,1.1164525937243184,2.2872683888821523,unknown,NCIH441,L,H,A,24,1.526501259859112
30,Au,I,PVP,1.1164525937243184,2.2872683888821523,unknown,NCIH441,L,H,A,48,1.526501259859112
31,Au,I,PVP,1.1164525937243184,2.2872683888821523,unknown,NCIH441,L,H,A,72,1.5259177624769227
32,Au,I,PVP,1.1164525937243184,2.9804155694420977,unknown,NCIH441,L,H,A,24,1.5169288220336952
33,Au,I,PVP,1.1164525937243184,2.9804155694420977,unknown,NCIH441,L,H,A,48,1.5247449696507982
34,Au,I,PVP,1.1164525937243184,4.079027858110208,unknown,NCIH441,L,H,A,24,1.5253323173292326
35,Au,I,PVP,1.1164525937243184,4.079027858110208,unknown,NCIH441,L,H,A,48,1.5259177624769227
36,Au,I,PVP,1.1164525937243184,4.589853481876198,unknown,NCIH441,L,H,A,24,1.5247449696507982
37,Au,I,PVP,1.1164525937243184,4.926325718497411,unknown,NCIH441,L,H,A,24,1.5223761093908614
38,Au,I,Citrate and PVP,1.1945626948287231,2.2872683888821523,unknown,A549,L,H,A,24,1.5181536959802606
39,Au,I,Citrate and PVP,1.1945626948287231,2.2872683888821523,unknown,A549,L,H,A,48,1.517542307640952
40,Au,I,Citrate and PVP,1.1945626948287231,2.2872683888821523,unknown,A549,L,H,A,72,1.5169288220336952
41,Au,I,Citrate and PVP,1.1945626948287231,2.9804155694420977,unknown,A549,L,H,A,24,1.5217789501035046
42,Au,I,Citrate and PVP,1.1945626948287231,2.9804155694420977,unknown,A549,L,H,A,48,1.5247449696507982
43,Au,I,Citrate and PVP,1.1945626948287231,2.9804155694420977,unknown,A549,L,H,A,72,1.5081135333340945
44,Au,I,Citrate and PVP,1.1945626948287231,4.079027858110208,unknown,A549,L,H,A,24,1.5223761093908614
45,Au,I,Citrate and PVP,1.1945626948287231,4.079027858110208,unknown,A549,L,H,A,48,1.5235644539656785
46,Au,I,Citrate and PVP,1.1945626948287231,4.079027858110208,unknown,A549,L,H,A,72,1.5138296860002933
47,Au,I,Citrate and PVP,1.1945626948287231,4.589853481876198,unknown,A549,L,H,A,24,1.5144538131297123
48,Au,I,Citrate and PVP,1.1945626948287231,4.589853481876198,unknown,A549,L,H,A,48,1.5008731252337861
49,Au,I,Citrate and PVP,1.1945626948287231,4.589853481876198,unknown,A549,L,H,A,72,1.482525478391529
50,Au,I,Citrate and PVP,1.1945626948287231,4.926325718497411,unknown,A549,L,H,A,24,1.4926321121433344
51,Au,I,Citrate and PVP,1.1945626948287231,4.926325718497411,unknown,A549,L,H,A,48,1.4764920305612863
52,Au,I,Citrate and PVP,1.1945626948287231,4.926325718497411,unknown,A549,L,H,A,72,1.4227538041361312
53,Au,I,Citrate and PVP,1.1945626948287231,2.2872683888821523,unknown,NCIH441,L,H,A,24,1.5259177624769227
54,Au,I,Citrate and PVP,1.1945626948287231,4.589853481876198,unknown,NCIH441,L,H,A,72,1.527082882201911
55,Au,I,Citrate and PVP,1.1945626948287231,4.926325718497411,unknown,NCIH441,L,H,A,24,1.5235644539656785
56,Au,I,Citrate and PVP,1.1945626948287231,4.926325718497411,unknown,NCIH441,L,H,A,48,1.5100390631747167
57,Au,I,Citrate and PVP,1.1945626948287231,4.926325718497411,unknown,NCIH441,L,H,A,72,1.5042000202130854
58,Au,I,Citrate and PVP,1.2055553034545792,2.2872683888821523,unknown,A549,L,H,A,24,1.5235644539656785
59,Au,I,Citrate and PVP,1.2055553034545792,2.2872683888821523,unknown,A549,L,H,A,72,1.5187630025436258
60,Au,I,Citrate and PVP,1.2055553034545792,2.9804155694420977,unknown,A549,L,H,A,24,1.5217789501035046
61,Au,I,Citrate and PVP,1.2055553034545792,2.9804155694420977,unknown,A549,L,H,A,72,1.5144538131297123
62,Au,I,Citrate and PVP,1.2055553034545792,4.079027858110208,unknown,A549,L,H,A,24,1.517542307640952
63,Au,I,Citrate and PVP,1.2055553034545792,4.079027858110208,unknown,A549,L,H,A,48,1.5241556990678988
64,Au,I,Citrate and PVP,1.2055553034545792,4.079027858110208,unknown,A549,L,H,A,72,1.5156955518412327
65,Au,I,Citrate and PVP,1.2055553034545792,4.589853481876198,unknown,A549,L,H,A,24,1.526501259859112
66,Au,I,Citrate and PVP,1.2055553034545792,4.589853481876198,unknown,A549,L,H,A,48,1.5119443167666184
67,Au,I,Citrate and PVP,1.2055553034545792,4.589853481876198,unknown,A549,L,H,A,72,1.503539466375376
68,Au,I,Citrate and PVP,1.2055553034545792,4.926325718497411,unknown,A549,L,H,A,24,1.502876542302017
69,Au,I,Citrate and PVP,1.2055553034545792,4.926325718497411,unknown,A549,L,H,A,48,1.4898006572497307
70,Au,I,Citrate and PVP,1.2055553034545792,4.926325718497411,unknown,A549,L,H,A,72,1.4501995366852527
71,Au,I,Citrate and PVP,1.2055553034545792,2.2872683888821523,unknown,NCIH441,L,H,A,24,1.5247449696507982
72,Au,I,Citrate and PVP,1.2055553034545792,2.9804155694420977,unknown,NCIH441,L,H,A,24,1.527082882201911
73,Au,I,Citrate and PVP,1.2055553034545792,2.9804155694420977,unknown,NCIH441,L,H,A,72,1.527082882201911
74,Au,I,Citrate and PVP,1.2055553034545792,4.926325718497411,unknown,NCIH441,L,H,A,48,1.5181536959802606
75,Au,I,Citrate and PVP,1.2055553034545792,4.926325718497411,unknown,NCIH441,L,H,A,72,1.5217789501035046
76,Au,I,None,1.0971887003649488,0.677830476448052,unknown,HEK­293,L,H,E,48,1.5140669532544455
77,Au,I,None,1.0971887003649488,2.9804155694420977,unknown,HEK­293,L,H,E,48,1.4992852419493414
78,Au,I,None,1.0971887003649488,5.283000662436144,unknown,HEK­293,L,H,E,48,1.3242799336238225
79,Iron oxide,I,Dextran,1.0613851298016763,5.703782474656201,unknown,VERO,L,A,A,24,1.5271796258079011
80,Iron oxide,I,Dextran,1.0613851298016763,5.991464547107982,unknown,VERO,L,A,A,24,1.5271796258079011
81,Iron oxide,I,Dextran,1.0613851298016763,6.214608098422191,unknown,VERO,L,A,A,24,1.4775113193551406
82,Iron oxide,I,PEG,1.0613851298016763,4.605170185988092,unknown,MDCK,L,A,A,24,1.4775113193551406
83,Iron oxide,I,PEG,1.0613851298016763,5.298317366548036,unknown,MDCK,L,A,A,24,1.462911420309622
84,Iron oxide,I,PEG,1.0613851298016763,5.703782474656201,unknown,MDCK,L,A,A,24,1.3640546328884455
85,Iron oxide,I,PEG,1.0613851298016763,5.991464547107982,unknown,MDCK,L,A,A,24,1.2913203187398075
87,Iron oxide,I,PEG,1.0613851298016763,4.605170185988092,unknown,MDCK,L,A,A,24,1.5040005277496349
88,Iron oxide,I,PEG,1.0613851298016763,5.298317366548036,unknown,MDCK,L,A,A,24,1.4782088855641313
98,Iron oxide,I,None,1.1285083975617491,2.302585092994046,unknown,A549,L,H,A,24,1.4885839460327333
99,Iron oxide,I,None,1.1285083975617491,3.2188758248682006,unknown,A549,L,H,A,24,1.453173761903945
100,Iron oxide,I,None,1.1285083975617491,3.912023005428146,unknown,A549,L,H,A,24,1.392612283633577
101,Iron oxide,I,None,1.1285083975617491,2.302585092994046,unknown,A549,L,H,A,24,1.4964725796851872
102,Iron oxide,I,None,1.1285083975617491,3.2188758248682006,unknown,A549,L,H,A,24,1.4746366515748413
103,Iron oxide,I,None,1.1285083975617491,3.912023005428146,unknown,A549,L,H,A,24,1.4289675858306226
104,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,PC12,L,A,A,24,1.5204330653438336
105,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,PC12,L,A,A,24,1.5174843460064302
106,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,PC12,L,A,A,24,1.5141528662232646
107,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,PC12,L,A,A,24,1.509034976120635
108,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,PC12,L,A,A,24,1.5158263101595686
109,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,PC12,L,A,A,24,1.490471124835158
110,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,PC12,L,A,A,24,1.470675240829637
111,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,HUVEC,P,H,E,24,1.5158263101595686
112,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,HUVEC,P,H,E,24,1.520108062017404
113,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,HUVEC,P,H,E,24,1.5151587963770097
114,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,HUVEC,P,H,E,24,1.508688738644638
115,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,HUVEC,P,H,E,24,1.4938857606591145
116,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,HUVEC,P,H,E,24,1.453267918827898
117,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,HUVEC,P,H,E,24,1.3822932016243188
118,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,C17.2,L,A,A,24,1.5076460381639398
119,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,C17.2,L,A,A,24,1.5128004852205994
120,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,C17.2,L,A,A,24,1.517153958874845
121,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,C17.2,L,A,A,24,1.509725471124097
122,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,C17.2,L,A,A,24,1.500894442550366
123,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,C17.2,L,A,A,24,1.4846325879361963
124,Au,I,PEG,0.4226868283120583,3.9999051108297707,Negative,C17.2,L,A,A,24,1.4518604417109922
125,Iron oxide,I,PEG,1.068960543625313,0.0,unknown,SKOV-3,L,H,A,24,1.5033498313766733
126,Iron oxide,I,PEG,1.068960543625313,1.6094379124341003,unknown,SKOV-3,L,H,A,24,1.5120342605736516
127,Iron oxide,I,PEG,1.068960543625313,2.302585092994046,unknown,SKOV-3,L,H,A,24,1.5077428369183206
128,Iron oxide,I,PEG,1.068960543625313,3.912023005428146,unknown,SKOV-3,L,H,A,24,1.4801004244544498
129,Iron oxide,I,PEG,1.068960543625313,4.605170185988092,unknown,SKOV-3,L,H,A,24,1.460774233763644
130,Iron oxide,I,PEG-FA,1.2691483887884287,0.0,Negative,SKOV-3,L,H,A,24,1.4968787851670171
131,Iron oxide,I,PEG-FA,1.2691483887884287,1.6094379124341003,Negative,SKOV-3,L,H,A,24,1.4951111479441697
132,Iron oxide,I,PEG-FA,1.2691483887884287,2.302585092994046,Negative,SKOV-3,L,H,A,24,1.5063049119929275
133,Iron oxide,I,PEG-FA,1.2691483887884287,3.912023005428146,Negative,SKOV-3,L,H,A,24,1.4990639376398984
134,Iron oxide,I,PEG-FA,1.2691483887884287,4.605170185988092,Negative,SKOV-3,L,H,A,24,1.4928753725226958
135,Iron oxide,I,Silica-FA,1.2691483887884287,0.0,Negative,SKOV-3,L,H,A,24,1.4950644681643779
136,Iron oxide,I,Silica-FA,1.2691483887884287,1.6094379124341003,Negative,SKOV-3,L,H,A,24,1.4870866982644
137,Iron oxide,I,Silica-FA,1.2691483887884287,2.302585092994046,Negative,SKOV-3,L,H,A,24,1.5080377542555348
138,Iron oxide,I,Silica-FA,1.2691483887884287,3.912023005428146,Negative,SKOV-3,L,H,A,24,1.4933210481218402
139,Iron oxide,I,Silica-FA,1.2691483887884287,4.605170185988092,Negative,SKOV-3,L,H,A,24,1.4888899878559103
140,Iron oxide,I,PEG,1.068960543625313,0.0,unknown,SKOV-3,L,H,A,48,1.520318027316551
141,Iron oxide,I,PEG,1.068960543625313,1.6094379124341003,unknown,SKOV-3,L,H,A,48,1.514330242808274
142,Iron oxide,I,PEG,1.068960543625313,2.302585092994046,unknown,SKOV-3,L,H,A,48,1.5037533889054593
143,Iron oxide,I,PEG,1.068960543625313,3.912023005428146,unknown,SKOV-3,L,H,A,48,1.496341269934319
144,Iron oxide,I,PEG,1.068960543625313,4.605170185988092,unknown,SKOV-3,L,H,A,48,1.4846325879361963
145,Iron oxide,I,PEG-FA,1.2691483887884287,0.0,Negative,SKOV-3,L,H,A,48,1.5253110995435817
146,Iron oxide,I,PEG-FA,1.2691483887884287,1.6094379124341003,Negative,SKOV-3,L,H,A,48,1.5116534773029098
147,Iron oxide,I,PEG-FA,1.2691483887884287,2.302585092994046,Negative,SKOV-3,L,H,A,48,1.511245789282327
148,Iron oxide,I,PEG-FA,1.2691483887884287,3.912023005428146,Negative,SKOV-3,L,H,A,48,1.5012232448347953
149,Iron oxide,I,PEG-FA,1.2691483887884287,4.605170185988092,Negative,SKOV-3,L,H,A,48,1.4951111479441697
150,Iron oxide,I,Silica-FA,1.2691483887884287,0.0,Negative,SKOV-3,L,H,A,48,1.4985022781567903
151,Iron oxide,I,Silica-FA,1.2691483887884287,1.6094379124341003,Negative,SKOV-3,L,H,A,48,1.5006178902059737
152,Iron oxide,I,Silica-FA,1.2691483887884287,2.302585092994046,Negative,SKOV-3,L,H,A,48,1.5047768264646795
153,Iron oxide,I,Silica-FA,1.2691483887884287,3.912023005428146,Negative,SKOV-3,L,H,A,48,1.4933210481218402
154,Iron oxide,I,Silica-FA,1.2691483887884287,4.605170185988092,Negative,SKOV-3,L,H,A,48,1.4870866982644
155,Iron oxide,I,PEG-FA,1.2691483887884287,0.0,Negative,SKOV-3,L,H,A,24,1.486489812045502
156,Iron oxide,I,PEG-FA,1.2691483887884287,1.6094379124341003,Negative,SKOV-3,L,H,A,24,1.4847094317983849
157,Iron oxide,I,PEG-FA,1.2691483887884287,2.302585092994046,Negative,SKOV-3,L,H,A,24,1.480187608388696
158,Iron oxide,I,PEG-FA,1.2691483887884287,3.912023005428146,Negative,SKOV-3,L,H,A,24,1.480187608388696
159,Iron oxide,I,PEG-FA,1.2691483887884287,4.605170185988092,Negative,SKOV-3,L,H,A,24,1.4755498559237887
