,Nanoparticle,Type: Organic (O)/inorganic (I),coat,Diameter (nm),Concentration μM,Zeta potential (mV),Cells,Cell line (L)/primary cells (P),Human(H)/Animal(A) cells,"Cell age: embryonic (E), Adult (A)",Exposure time (h),% Cell viability
9,CuO,I,,52.51,3.47E-05,-39.67,A549,L,H,A,24,74.58716
10,CuO,I,,52.51,8.68E-05,-39.67,A549,L,H,A,24,66.055046
11,CuO,I,,52.51,0.0001735663079,-39.67,A549,L,H,A,24,48.16514
12,CuO,I,,52.51,3.47E-05,-39.67,A549,L,H,A,24,84.71387
13,CuO,I,,52.51,8.68E-05,-39.67,A549,L,H,A,24,68.67281
14,CuO,I,,52.51,0.0001735663079,-39.67,A549,L,H,A,24,45.37968
15,CuO,I,,239,3.68E-31,,HCMEC,P,H,A,12,98.8764
16,CuO,I,,239,3.68E-10,,HCMEC,P,H,A,12,96.62921
17,CuO,I,,239,3.68E-09,,HCMEC,P,H,A,12,96.62921
18,CuO,I,,239,3.68E-08,,HCMEC,P,H,A,12,98.8764
19,CuO,I,,239,1.84E-07,,HCMEC,P,H,A,12,84.26966
20,CuO,I,,239,3.68E-07,,HCMEC,P,H,A,12,65.16854
21,CuO,I,,239,7.36E-07,,HCMEC,P,H,A,12,46.067417
22,CuO,I,,239,1.84E-06,,HCMEC,P,H,A,12,16.853933
24,CuO,I,,239,3.68E-11,,HCMEC,P,H,A,24,96.62921
25,CuO,I,,239,3.68E-10,,HCMEC,P,H,A,24,100
26,CuO,I,,239,3.68E-09,,HCMEC,P,H,A,24,95.505615
27,CuO,I,,239,3.68E-08,,HCMEC,P,H,A,24,96.62921
28,CuO,I,,239,1.84E-07,,HCMEC,P,H,A,24,75.2809
29,CuO,I,,239,3.68E-07,,HCMEC,P,H,A,24,43.820225
30,CuO,I,,239,7.36E-07,,HCMEC,P,H,A,24,15.730337
31,CuO,I,,239,1.84E-06,,HCMEC,P,H,A,24,13.483146
32,CuO,I,,239,3.68E-06,,HCMEC,P,H,A,24,13.483146
33,CuO,I,,239,3.68E-11,,HCMEC,P,H,A,12,46.294353
34,CuO,I,,239,3.68E-10,,HCMEC,P,H,A,12,44.390324
35,CuO,I,,239,3.68E-09,,HCMEC,P,H,A,12,44.36371
36,CuO,I,,239,3.68E-08,,HCMEC,P,H,A,12,33.08468
37,CuO,I,,239,1.84E-07,,HCMEC,P,H,A,12,27.435486
38,CuO,I,,239,3.68E-07,,HCMEC,P,H,A,12,12.40403
39,CuO,I,,239,7.36E-07,,HCMEC,P,H,A,12,12.37742
40,CuO,I,,239,1.84E-06,,HCMEC,P,H,A,12,-6.40161
