,No,Year,Material,Type,Coat,Surface_Charge,Diameter (nm),Cell_Type,Human_Animal,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Cell_Viability (%),DOI
92,93,2014,IronOxide,I,Dextran,unknown,18,VERO,A,Adult,L,24,100,102,10.1002/jbm.b.33068
93,94,2014,IronOxide,I,Dextran,unknown,18,VERO,A,Adult,L,24,200,105.08,10.1002/jbm.b.33068
94,95,2014,IronOxide,I,Dextran,unknown,18,VERO,A,Adult,L,24,300,100,10.1002/jbm.b.33068
95,96,2014,IronOxide,I,Dextran,unknown,18,VERO,A,Adult,L,24,400,100,10.1002/jbm.b.33068
96,97,2014,IronOxide,I,Dextran,unknown,18,VERO,A,Adult,L,24,500,80,10.1002/jbm.b.33068
97,98,2014,IronOxide,I,Dextran,unknown,18,MDCK,A,Adult,L,24,100,101.97,10.1002/jbm.b.33068
98,99,2014,IronOxide,I,Dextran,unknown,18,MDCK,A,Adult,L,24,200,115.09,10.1002/jbm.b.33068
99,100,2014,IronOxide,I,Dextran,unknown,18,MDCK,A,Adult,L,24,300,115.09,10.1002/jbm.b.33068
100,101,2014,IronOxide,I,Dextran,unknown,18,MDCK,A,Adult,L,24,400,100.1,10.1002/jbm.b.33068
101,102,2014,IronOxide,I,Dextran,unknown,18,MDCK,A,Adult,L,24,500,118.08,10.1002/jbm.b.33068
102,103,2014,IronOxide,I,PEG,unknown,18,MDCK,A,Adult,L,24,100,80,10.1002/jbm.b.33068
103,104,2014,IronOxide,I,PEG,unknown,18,MDCK,A,Adult,L,24,200,75.077,10.1002/jbm.b.33068
104,105,2014,IronOxide,I,PEG,unknown,18,MDCK,A,Adult,L,24,300,50,10.1002/jbm.b.33068
105,106,2014,IronOxide,I,PEG,unknown,18,MDCK,A,Adult,L,24,400,38,10.1002/jbm.b.33068
106,107,2014,IronOxide,I,PEG,unknown,18,MDCK,A,Adult,L,24,500,34.923,10.1002/jbm.b.33068
107,108,2014,IronOxide,I,PEG,unknown,18,MDCK,A,Adult,L,24,100,89.986,10.1002/jbm.b.33068
108,109,2014,IronOxide,I,PEG,unknown,18,MDCK,A,Adult,L,24,200,80.245,10.1002/jbm.b.33068
109,110,2014,IronOxide,I,PEG,unknown,18,MDCK,A,Adult,L,24,300,31.916,10.1002/jbm.b.33068
110,111,2014,IronOxide,I,PEG,unknown,18,MDCK,A,Adult,L,24,400,30.043,10.1002/jbm.b.33068
111,112,2014,IronOxide,I,PEG,unknown,18,MDCK,A,Adult,L,24,500,30.043,10.1002/jbm.b.33068
200,201,2010,Au,I,None,Positive,2,BEC,H,Adult,P,24,-,28.349,10.1021/nl101140t
201,202,2010,Au,I,None,Positive,2,ASM,H,Adult,P,24,-,54.984,10.1021/nl101140t
