SMILES,Solubility,MolLogP,MolMR,HeavyAtomCount,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,TPSA,LabuteASA,BertzCT
[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.6161271205,10.0,102.44540000000008,23.0,17.0,142.0,0.0,0.0,158.52060058500794,210.377334085253
O=C1Nc2cccc3cccc1c23,-3.2547670983,2.405500000000001,51.90120000000002,13.0,0.0,62.0,2.0,29.1,75.18356289575135,511.2292477154965
Clc1ccc(C=O)cc1,-2.1770779444,2.1525,36.839500000000015,9.0,1.0,46.0,1.0,17.07,58.261133560819005,6085.486838548312
[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,-3.9244090954,8.11610000000001,200.7105999999995,53.0,10.0,264.0,6.0,120.72,323.7554336987488,1964.648665828827
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.6620645831,2.4854000000000003,119.07600000000004,31.0,12.0,164.0,2.0,56.6,183.18326845703425,769.8999341256456
Cc1cccc(C=C)c1,-3.1231503041,2.638020000000001,41.27000000000002,9.0,1.0,46.0,1.0,0.0,55.83662643050253,211.03322454352
CCC1CCC(CCC(O)=O)C1,-3.286116314,2.6775,47.99180000000002,12.0,4.0,70.0,0.0,37.3,73.97365475610957,153.9175691117035
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391,0.5283999999999995,96.43820000000002,27.0,2.0,148.0,0.0,115.06000000000002,158.13554184614785,755.7707920367225
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.396652184700001,3.195800000000001,56.232500000000016,16.0,2.0,80.0,2.0,17.07,91.34603234585384,452.9607327512057
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502563999999,3.497200000000002,93.50200000000004,25.0,10.0,132.0,2.0,61.830000000000005,147.07171412934204,582.1507932669278
CN(C)c1ccc(C=O)cc1,-2.2827688499,1.5651,46.15650000000002,11.0,2.0,58.0,1.0,20.31,66.44758523293392,238.24457522403964
CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685,2.570800000000001,55.99100000000004,14.0,3.0,76.0,1.0,26.3,84.89612313542727,301.3575848525983
Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.9803097957,12.05423999999998,225.48479999999927,54.0,0.0,288.0,6.0,121.38,322.89073780339857,1804.418547468813
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798,2.761700000000001,60.377000000000045,15.0,3.0,82.0,1.0,21.76,91.20725722575776,317.38434399782966
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.5440597008,3.7048000000000014,61.50150000000003,18.0,6.0,100.0,1.0,26.3,103.75767145860256,382.2179844419697
CC(C)=CCC\C(C)=C/CO,-2.3206011661000003,2.6714000000000016,49.50780000000003,11.0,4.0,,24.281202749455826,20.23,69.43875774522651,150.25571236699292
CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863,2.5003199999999994,53.91480000000002,14.0,3.0,76.0,1.0,46.53,87.26373888571173,349.2203893594689
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.9581950472000003,9.3243,163.39599999999962,35.0,20.0,208.0,0.0,36.92,251.87007803628515,523.6422056449971
FC(F)(F)c1cccc(Cl)c1,-3.4115138849,3.3588000000000005,36.454000000000015,11.0,0.0,60.0,1.0,0.0,66.59621766955395,254.1077532761268
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407,2.780900000000001,63.16900000000005,16.0,7.0,94.0,0.0,38.83,98.50133780611716,233.33220565073853
